Username,ProfileLink,DisplayName,Races,Points,Title,Team
ashwat255,https://www.nitromath.com/racer/ashwat255,Tarif Retired NT,2263,107232,Operation: Typing,TR1
promystie,https://www.nitromath.com/racer/promystie,61nowPW,1579,74453,Top Tier,TR1
t4l4n06,https://www.nitromath.com/racer/t4l4n06,TM4C Num 2 Szn Games,2797,50710,Loaded Lorry Legend,NMGDS
callsignbookworm,https://www.nitromath.com/racer/callsignbookworm,BBX Bookworm,500,15104,Sp3llchekcer,X3
d2zzzzzz,https://www.nitromath.com/racer/d2zzzzzz,Imfaster,422,13974,Not a Bot,X3
9b97df21bf9a4b8ba3c229233ca88ce6,https://www.nitromath.com/racer/9b97df21bf9a4b8ba3c229233ca88ce6,Wild Jagd,345,11261,Nitro Rich,ML
cherry149,https://www.nitromath.com/racer/cherry149,Typing_Cat_NM,393,10477,Tilted Typist,PIGGY
dodge_hornet_2024,https://www.nitromath.com/racer/dodge_hornet_2024,dodge - break,266,10020,Sea Student,OT
huracan2012,https://www.nitromath.com/racer/huracan2012,Huracan,279,8911,Extracurricular!,NMGDS
pwneedsqueen,https://www.nitromath.com/racer/pwneedsqueen,PrinceWarrior,2108,8514,Endless Summer,WL
charis_thomas,https://www.nitromath.com/racer/charis_thomas,CRXSHOUT_V3N0M,260,8335,Shattered,WL
250fish,https://www.nitromath.com/racer/250fish,250fish,289,8095,League Champion,NMGDS
adudemanbro,https://www.nitromath.com/racer/adudemanbro,Oreo :D,328,7515,Sp3llchekcer,OT
prorick173,https://www.nitromath.com/racer/prorick173,hihihi,281,6675,Operation: Typing,FASZ
chumsley,https://www.nitromath.com/racer/chumsley,THE VIPER,312,6373,Original Gangster,TOSONT
oxx_err0r,https://www.nitromath.com/racer/oxx_err0r,oxxerr0r,171,5851,League Champion,DM8TE
d7ebd81a102778a7bb3ea7321f8ac6ff,https://www.nitromath.com/racer/d7ebd81a102778a7bb3ea7321f8ac6ff,SoldToTyping YT,682,5438,WPM Wonderkid,NITR0
43ef88f146eec99bc2c1bd9e4e63d4be,https://www.nitromath.com/racer/43ef88f146eec99bc2c1bd9e4e63d4be,Dimond rich,200,5079,Nitro Dog,COBRAS
lookuptosee,https://www.nitromath.com/racer/lookuptosee,How Great is God,268,4972,Dragon Tamer,CC
doggoiqnt,https://www.nitromath.com/racer/doggoiqnt,DoggoIQ,131,4953,Operation: Typing,PNKYPI
haruto0804,https://www.nitromath.com/racer/haruto0804,vSolar,221,4614,League Champion,NMGDS
davidh314,https://www.nitromath.com/racer/davidh314,Usain Bolt,196,4594,Nitro Pup,SHIP
aaf5c0fd1e5a8432156c1a679a042074,https://www.nitromath.com/racer/aaf5c0fd1e5a8432156c1a679a042074,panchitojamesishere,202,4577,Nitro Pup,CRAZZZ
aaron23472,https://www.nitromath.com/racer/aaron23472,aaron23472,173,4420,Nitro Dog,NFL881
d1srupti0n2,https://www.nitromath.com/racer/d1srupti0n2,disrupt,108,4369,Huge Baller,ETH
xxthirteenxx,https://www.nitromath.com/racer/xxthirteenxx,l8rval,657,4256,2icy4u,WL
ju7gt,https://www.nitromath.com/racer/ju7gt,JuJu YT,232,4219,Three Commas Club,TR1
tyo90,https://www.nitromath.com/racer/tyo90,✨superjoelzy✨,120,4204,Operation: Typing,JSTW
awrussell,https://www.nitromath.com/racer/awrussell,EAGLES_RULE,145,4007,"Peace, Love, Nitros",4MATH
9cbd50f8faee2703325078b265254e31,https://www.nitromath.com/racer/9cbd50f8faee2703325078b265254e31,Rhinosarous REX,194,3887,Legendary Lapper,4MATH
kamryn234t54345,https://www.nitromath.com/racer/kamryn234t54345,༺Survivor༻,105,3626,Pit Crew,FASZ
kkthegreat12,https://www.nitromath.com/racer/kkthegreat12,Jesus is Epic,107,3462,Crazy About Typing,LORD
gocartman9,https://www.nitromath.com/racer/gocartman9,ily2justbuzzinaround,126,3429,Grab the Popcorn!,X3
ampray,https://www.nitromath.com/racer/ampray,ampray,145,3363,Spring-a-round,LEGOLF
jay1sh,https://www.nitromath.com/racer/jay1sh,",Joxx,",158,3315,Yo,WL
gordo90,https://www.nitromath.com/racer/gordo90,gordo90,124,3310,Millionaire,TOSONT
nfo_null,https://www.nitromath.com/racer/nfo_null,,110,3215,Bug Smasher,NFO
therealr4d1ant,https://www.nitromath.com/racer/therealr4d1ant,R4d1ant,363,3115,Keyboard Cat,ML
31ad00a08c36794a6016fe2c186a64de,https://www.nitromath.com/racer/31ad00a08c36794a6016fe2c186a64de,Potato Man,113,3112,Spring-a-round,CF02
bessyann81,https://www.nitromath.com/racer/bessyann81,CozyIndigoCheetah,154,3034,Box Collector,FUS3
mtana12,https://www.nitromath.com/racer/mtana12,Koploon Alt,105,3000,Nitro Rich,APLU5
thefastcakes,https://www.nitromath.com/racer/thefastcakes,thefastcakes,92,2888,Nitro Dog,LEGOLF
chatterbox_cam,https://www.nitromath.com/racer/chatterbox_cam,Chatterbox Cam,111,2878,Let's Gooooo!,DKC
