Team,TotalPoints,Races,Members
TR1,176497,3751,3
IMT,170230,16481,48
X3,59721,2135,50
NMGDS,47329,1786,20
WL,46771,7673,45
TOSONT,28067,1399,50
SHIP,27546,1172,48
ML,25491,1410,47
DVM,24649,1031,3
FASZ,23022,944,37
4MATH,20922,1010,40
OT,17367,638,34
CC,14638,851,49
CRAZZZ,14490,614,40
DM8TE,14437,539,17
SERVNT,13808,753,50
DKC,13518,576,48
CF02,12933,512,26
LEGOLF,12049,474,48
GO10,11938,771,21
PNKYPI,11308,354,46
PIGGY,10936,420,8
COBRAS,10697,507,22
LORD,10371,496,18
NITR0,10211,1032,44
T2WIN,9051,474,47
NFL881,9025,372,35
TMS,8993,2473,30
NFL,7855,340,16
FUS3,7705,364,34
BEAST,7148,325,40
J4UP,6603,379,20
GRIFF,5905,348,13
BAG,5785,302,13
WOLVEZ,5547,704,1
JSTW,5102,159,16
ETYPEC,4946,335,12
JDFU,4721,232,39
NFO,4516,162,6
TCLIP,4514,249,39
HGWRTS,4430,155,16
WINNR,4430,152,9
ETH,4417,109,1
JLFU,4415,261,34
KINGH,4303,163,21
APLU5,3879,142,27
A3,3396,190,14
BOB151,3378,169,16
N8TH,3355,156,6
CONM,3323,163,41
R3M1X,3204,310,20
JE4US,2935,132,46
HIM32,2921,136,4
EVSC,2915,135,48
WCV,2839,116,26
MATH,2250,107,42
LGCS,2245,95,6
WMDSM,2204,115,30
TEDDY,1894,107,49
49ERSI,1820,90,21
TRUST,1786,89,48
NTPD1,1757,86,18
12312B,1647,81,34
ZOOM,1565,70,7
RISE,1522,64,27
DORYA,1432,87,43
PUPBY,1431,83,31
404,1372,88,7
ALSLUG,1163,64,38
ERICK,1106,49,27
DRBZZZ,1088,46,8
GOAT,1085,64,44
VZ,1061,53,45
MATT18,1002,46,39
SAVVEE,909,44,15
KINGS,868,42,49
GHOSTS,849,45,3
GOLD55,814,48,33
ZWINNA,764,35,30
NMCH12,733,42,45
GOATS,693,41,37
LGE,558,25,45
SOCER5,531,30,40
HRX,518,28,35
EASTER,470,25,49
ZH,469,77,13
WISD0M,467,26,10
W2V,373,25,40
AMATHB,331,24,30
NMV,326,15,7
CR7TW,275,15,21
GOLD,272,17,48
KOTGP,265,10,6
ABAMS,242,13,40
PRVBS,183,9,13
121,137,7,27
NMGS,53,2,11
A298,19,1,7
MAHOU,19,1,8
IM4,2,1,2
UBL,0,0,6
SOW,0,0,4
81BAG,0,0,4
CCFRI,0,0,8
