Team,TotalPoints,Races,Members
TR1,180876,3841,3
IMT,179228,17236,40
X3,65032,2319,50
NMGDS,50610,1902,17
WL,48375,8203,47
TOSONT,30096,1493,46
SHIP,28844,1224,49
DVM,27478,1133,3
ML,26492,1449,46
FASZ,23780,979,39
4MATH,22071,1054,41
OT,18147,665,35
DM8TE,16160,601,19
CC,15439,909,48
SERVNT,14801,801,48
CRAZZZ,14538,618,40
DKC,13568,578,48
LEGOLF,13328,516,48
CF02,13088,518,25
GO10,12631,808,22
PNKYPI,12599,390,46
PIGGY,10989,425,9
COBRAS,10962,525,22
LORD,10639,512,18
NITR0,10481,1053,44
T2WIN,9666,500,46
NFL881,9373,385,35
TMS,8993,2473,30
NFL,7920,344,16
FUS3,7705,364,34
BEAST,7224,328,40
J4UP,7145,396,21
GRIFF,6712,381,15
BAG,5977,313,13
JSTW,5732,179,16
WOLVEZ,5547,704,1
JDFU,5450,260,36
HGWRTS,5338,186,16
WINNR,5199,182,9
NFO,4852,177,6
TCLIP,4514,249,39
JLFU,4503,265,34
ETH,4417,109,1
KINGH,4303,163,21
A3,3881,206,14
APLU5,3879,142,27
CONM,3650,177,41
N8TH,3536,163,7
BOB151,3454,172,16
WCV,3330,133,26
R3M1X,3311,315,21
HIM32,3040,141,4
JE4US,2966,133,45
EVSC,2915,135,48
TEDDY,2302,131,47
LGCS,2300,98,6
MATH,2250,107,41
WMDSM,2204,115,30
49ERSI,1820,90,21
TRUST,1808,90,47
NTPD1,1757,86,18
12312B,1647,81,34
ZOOM,1565,70,5
RISE,1522,64,27
PUPBY,1479,87,31
DORYA,1432,87,43
404,1372,88,7
ALSLUG,1266,69,38
ERICK,1106,49,27
DRBZZZ,1088,46,8
GOAT,1085,64,44
VZ,1077,54,45
GHOSTS,1064,56,3
MATT18,1002,46,39
SAVVEE,909,44,14
KINGS,868,42,49
GOLD55,814,48,33
ZWINNA,764,35,29
NMCH12,733,42,45
GOATS,693,41,37
AMATHB,676,45,31
W2V,573,36,40
LGE,558,25,45
SOCER5,531,30,40
HRX,518,28,35
EASTER,479,26,48
WISD0M,478,28,10
ZH,469,77,13
ABAMS,406,23,40
NMV,326,15,7
GOLD,305,19,48
121,282,16,26
CR7TW,275,15,21
KOTGP,265,10,6
PRVBS,183,9,13
NMGS,53,2,11
A298,19,1,7
MAHOU,19,1,8
IM4,2,1,2
UBL,0,0,6
SOW,0,0,4
81BAG,0,0,4
CCFRI,0,0,8
