Team,TotalPoints,Races,Members
TR1,259636,5491,7
IMT,211623,19466,49
X3,100124,3518,50
NMGDS,69598,2637,16
WL,60238,10733,44
SHIP,34853,1478,50
ML,28269,1622,45
FASZ,25998,1168,43
4MATH,25348,1210,47
OT,19804,712,34
SERVNT,19051,1011,49
CC,18726,1142,47
DM8TE,17609,652,19
CRAZZZ,16327,689,39
LEGOLF,16260,639,48
DKC,16045,697,50
GO10,15691,986,24
CF02,14578,575,16
PNKYPI,13903,466,49
COBRAS,13811,692,24
LORD,12701,632,21
NITR0,12159,1195,44
PIGGY,11585,441,9
T2WIN,11051,561,45
FUS3,10227,488,36
NFL881,10116,413,34
TMS,9373,2498,29
J4UP,8592,473,28
GRIFF,8424,455,20
NFL,8371,365,9
JDFU,7747,351,37
BEAST,7651,352,40
HGWRTS,7009,255,16
BAG,6743,353,12
TCLIP,6240,332,47
A3,6174,347,15
WINNR,6099,213,10
ETH,5942,141,1
JSTW,5771,180,16
ETYPEC,5663,368,10
NFO,5620,202,6
WOLVEZ,5547,704,1
KINGH,4848,193,21
JLFU,4806,281,27
N8TH,4431,200,6
WCV,4414,177,26
CONM,4378,208,40
BOB151,4342,213,16
APLU5,3879,142,27
R3M1X,3607,330,21
JE4US,3390,154,41
TEDDY,3097,181,47
HIM32,3061,142,4
ERICK,3026,133,26
EVSC,2999,142,48
MATH,2920,143,42
PUPBY,2816,165,37
AMATHB,2599,164,33
LGCS,2455,104,6
KINGS,2365,129,49
DORYA,2306,136,43
WMDSM,2204,115,29
NTPD1,1997,100,19
49ERSI,1983,98,21
12312B,1965,97,34
TRUST,1928,95,48
RISE,1784,79,26
ZOOM,1755,79,5
W2V,1748,105,40
VZ,1563,74,43
404,1448,92,6
ALSLUG,1270,70,37
WISD0M,1262,53,9
GOAT,1101,65,43
DRBZZZ,1088,46,8
HRX,1075,52,35
GHOSTS,1064,56,3
MATT18,1012,47,34
SAVVEE,974,50,10
GOLD55,814,48,33
LGE,813,35,45
ZWINNA,798,37,26
NMCH12,772,44,43
ZH,739,89,13
EASTER,734,43,48
GOATS,693,41,36
SOCER5,660,36,40
PRVBS,633,36,13
ABAMS,474,26,40
NMV,426,19,8
CR7TW,383,21,21
GOLD,305,19,48
121,282,16,26
KOTGP,265,10,6
NMGS,77,3,11
81BAG,28,2,3
A298,19,1,7
MAHOU,19,1,6
IM4,5,2,2
UBL,0,0,6
SOW,0,0,4
