Team,TotalPoints,Races,Members
IMT,142702,13023,43
TR1,135184,2854,4
X3,45188,1636,49
WL,40414,6412,45
NMGDS,23328,825,21
ML,23208,1264,47
TOSONT,21696,1085,50
FASZ,21018,864,39
SHIP,17438,773,46
4MATH,14803,698,46
CRAZZZ,14490,614,40
OT,13417,534,32
CC,12651,736,50
SERVNT,11324,626,50
CF02,11310,455,28
DM8TE,10802,392,12
DKC,10384,435,43
LEGOLF,10346,408,47
PIGGY,10043,392,9
COBRAS,9774,453,21
PNKYPI,8756,285,46
NITR0,8610,836,49
TMS,8582,2451,33
LORD,8021,394,9
T2WIN,7878,424,43
NFL,7239,307,16
NFL881,6731,279,34
BEAST,6498,296,40
J4UP,6230,355,17
WOLVEZ,5547,704,1
JSTW,5102,159,16
ETYPEC,4946,335,12
FUS3,4640,225,36
NFO,4516,162,6
ETH,4369,108,1
TCLIP,4327,242,38
BAG,4291,222,12
JLFU,4247,253,36
KINGH,4047,154,20
APLU5,3879,142,27
WINNR,3574,122,8
JDFU,3369,172,50
R3M1X,3136,307,20
N8TH,3087,146,8
BOB151,2906,139,16
EVSC,2887,133,47
HGWRTS,2650,90,16
CONM,2448,119,42
GRIFF,2335,96,12
A3,2307,145,13
WMDSM,2204,115,30
JE4US,2071,91,44
HIM32,2045,96,4
LGCS,1950,85,7
WCV,1883,78,26
MATH,1825,90,43
NTPD1,1658,82,17
12312B,1527,75,34
RISE,1522,64,27
49ERSI,1473,72,21
PUPBY,1414,82,31
404,1324,84,8
ZOOM,1309,54,7
DORYA,1268,78,43
TRUST,1226,59,48
ERICK,1106,49,27
DRBZZZ,1088,46,8
GOAT,901,52,44
ALSLUG,896,52,38
SAVVEE,887,43,16
KINGS,852,41,49
GHOSTS,849,45,4
MATT18,737,35,40
NMCH12,708,41,45
VZ,602,29,45
GOLD55,525,33,33
HRX,476,26,36
SOCER5,443,26,40
EASTER,358,20,48
LGE,343,12,45
NMV,326,15,7
WISD0M,317,13,10
GOATS,294,17,37
ZWINNA,282,14,30
CR7TW,275,15,21
ZH,272,32,11
GOLD,272,17,48
1LWS,257,15,20
ABAMS,224,12,40
W2V,183,10,41
121,137,7,27
AMATHB,137,12,31
TEDDY,97,5,45
PRVBS,73,4,14
NMGS,53,2,11
IM4,2,1,2
KOTGP,0,0,6
MAHOU,0,0,8
SOW,0,0,4
UBL,0,0,6
A298,0,0,7
81BAG,0,0,2
CCFRI,0,0,8
