Username,ProfileLink,DisplayName,Races,Points,Title,Team
ashwat255,https://www.nitromath.com/racer/ashwat255,Tarif Retired NT,1713,47.258610624635146,Operation: Typing,TR1
promystie,https://www.nitromath.com/racer/promystie,61nowPW,1568,47.17984693877551,Top Tier,TR1
imastonecoldtyper,https://www.nitromath.com/racer/imastonecoldtyper,Internet Typer YT,25,41.96,Celebrity,TR1
d1srupti0n2,https://www.nitromath.com/racer/d1srupti0n2,disrupt,108,40.4537037037037,Huge Baller,ETH
zl4982,https://www.nitromath.com/racer/zl4982,afk_typist,3,38.0,Hot Hot Hot!,X3
nateb3a,https://www.nitromath.com/racer/nateb3a,pinkflxwers,2,38.0,WPM Wonderkid,OT
0e1c8049d10fad5f1947ddf1bca0743b,https://www.nitromath.com/racer/0e1c8049d10fad5f1947ddf1bca0743b,TheEvilDead,58,37.689655172413794,Ultimate Racer,KINGH
doggoiqnt,https://www.nitromath.com/racer/doggoiqnt,DoggoIQ,86,37.674418604651166,Operation: Typing,PNKYPI
dodge_hornet_2024,https://www.nitromath.com/racer/dodge_hornet_2024,agentdodge,238,37.66386554621849,Spring Streaker,OT
cosmicallyr2,https://www.nitromath.com/racer/cosmicallyr2,Genesis Le Cos IV,505,37.48910891089109,Yo,IM2
isaacfirstplace,https://www.nitromath.com/racer/isaacfirstplace,VIKING KING,54,35.44444444444444,Need 4 Speed,SHIP
ultra_legend_1234,https://www.nitromath.com/racer/ultra_legend_1234,Cursed Embers,817,35.39902080783354,League Champion,WL
agentdevo,https://www.nitromath.com/racer/agentdevo,Agent Devo,4,35.25,Aquarian Conqueror,A3
arlan2000,https://www.nitromath.com/racer/arlan2000,Arlz 175k,10,35.1,Nitro Dog,J4UP
tyo90,https://www.nitromath.com/racer/tyo90,✨superjoelzy✨,72,34.80555555555556,Operation: Typing,JSTW
ucrow4,https://www.nitromath.com/racer/ucrow4,Asher Armstrong,3,34.666666666666664,Yo,HGWRTS
kamryn234t54345,https://www.nitromath.com/racer/kamryn234t54345,༺Survivor༻,105,34.53333333333333,Pit Crew,FASZ
yoshiiscoolsoyeah,https://www.nitromath.com/racer/yoshiiscoolsoyeah,morey_,2,34.5,Nitro Rich,MATH
oxx_err0r,https://www.nitromath.com/racer/oxx_err0r,oxxerr0r,171,34.21637426900585,League Champion,DM8TE
amethystamongus,https://www.nitromath.com/racer/amethystamongus,Am3thyst,5,34.2,Breaker of Winds,4MATH
