Team,TotalPoints,Races,Members
TR1,234907,4973,7
IMT,207015,19112,48
X3,94484,3332,50
NMGDS,64270,2409,14
WL,57250,10118,49
TOSONT,38233,1938,44
SHIP,34853,1478,50
ML,27919,1605,45
FASZ,25761,1153,43
4MATH,25348,1210,47
OT,19761,711,35
SERVNT,18763,997,50
CC,18253,1111,47
DM8TE,17609,652,19
CRAZZZ,16327,689,39
DKC,15815,687,50
LEGOLF,15737,622,48
GO10,15563,980,24
CF02,14554,572,19
PNKYPI,13832,463,48
COBRAS,13486,680,24
NITR0,11814,1176,45
LORD,11619,573,12
PIGGY,11585,441,9
T2WIN,11018,560,45
NFL881,10089,412,34
FUS3,9424,451,36
TMS,9373,2498,29
J4UP,8592,473,29
GRIFF,8424,455,20
NFL,8348,364,10
JDFU,7625,346,37
BEAST,7558,346,40
HGWRTS,6826,247,16
BAG,6685,350,12
TCLIP,6203,330,47
ETH,5942,141,1
WINNR,5942,207,10
A3,5925,333,16
JSTW,5732,179,16
NFO,5620,202,6
WOLVEZ,5547,704,1
ETYPEC,5358,354,10
KINGH,4848,193,21
JLFU,4764,279,28
N8TH,4431,200,6
WCV,4414,177,26
BOB151,4342,213,16
CONM,4338,206,41
APLU5,3879,142,27
R3M1X,3573,326,21
JE4US,3390,154,41
TEDDY,3066,179,47
HIM32,3061,142,4
EVSC,2928,138,48
ERICK,2863,122,27
PUPBY,2816,165,37
AMATHB,2599,164,33
MATH,2548,122,41
LGCS,2455,104,6
WMDSM,2204,115,30
DORYA,2110,125,43
49ERSI,1983,98,21
12312B,1965,97,34
TRUST,1928,95,48
NTPD1,1797,88,17
RISE,1784,79,26
ZOOM,1755,79,5
W2V,1748,105,40
KINGS,1617,88,49
VZ,1563,74,43
404,1448,92,6
ALSLUG,1270,70,37
WISD0M,1262,53,9
GOAT,1101,65,43
DRBZZZ,1088,46,8
GHOSTS,1064,56,3
HRX,1053,50,35
MATT18,1012,47,35
SAVVEE,974,50,10
GOLD55,814,48,33
ZWINNA,798,37,26
NMCH12,772,44,43
ZH,739,89,13
GOATS,693,41,36
SOCER5,660,36,40
EASTER,636,36,48
LGE,592,27,45
ABAMS,474,26,40
NMV,426,19,8
CR7TW,383,21,21
GOLD,305,19,48
121,282,16,26
KOTGP,265,10,6
PRVBS,245,12,13
NMGS,77,3,11
81BAG,28,2,3
MAHOU,19,1,6
A298,19,1,7
IM4,5,2,2
SOW,0,0,4
UBL,0,0,6
CCFRI,0,0,8
