Username,ProfileLink,DisplayName,Races,Points,Title,Team
ashwat255,https://www.nitromath.com/racer/ashwat255,Tarifatician,2665,126474,Operation: Typing,TR1
promystie,https://www.nitromath.com/racer/promystie,61nowPW,1599,75372,Top Tier,TR1
t4l4n06,https://www.nitromath.com/racer/t4l4n06,TM4C Num 2 Szn Games,3193,60080,Never Exhausted,NMGDS
ultra_legend_1234,https://www.nitromath.com/racer/ultra_legend_1234,Cursed Embers,1062,37228,League Champion,X3
ibotalotofraces1,https://www.nitromath.com/racer/ibotalotofraces1,Mr_Benz,6229,32114,Insert Title Here,IMT
yellowtyper0to100m,https://www.nitromath.com/racer/yellowtyper0to100m,PW Ur Still 2nd,1791,28396,Nitro Rich,IMT
cosmicallyr2,https://www.nitromath.com/racer/cosmicallyr2,Eclipta De Cosmic IX,575,21671,Overdrive,IMT
callsignbookworm,https://www.nitromath.com/racer/callsignbookworm,BBX Bookworm,520,15724,The Diamond Racer,X3
d2zzzzzz,https://www.nitromath.com/racer/d2zzzzzz,Imfaster,455,14977,Not a Bot,X3
9b97df21bf9a4b8ba3c229233ca88ce6,https://www.nitromath.com/racer/9b97df21bf9a4b8ba3c229233ca88ce6,Wild Jagd,363,11804,Nitro Rich,ML
dodge_hornet_2024,https://www.nitromath.com/racer/dodge_hornet_2024,dodge - break,305,11452,Sea Student,OT
cherry149,https://www.nitromath.com/racer/cherry149,Typing_Cat_NM,393,10477,Tilted Typist,PIGGY
huracan2012,https://www.nitromath.com/racer/huracan2012,Huracan,324,10406,Extracurricular!,NMGDS
ntyperoftheyear,https://www.nitromath.com/racer/ntyperoftheyear,-Arentyx- Subcribe,339,10014,Battle Beast,IMT
250fish,https://www.nitromath.com/racer/250fish,250fish,350,9940,League Champion,NMGDS
adudemanbro,https://www.nitromath.com/racer/adudemanbro,Oreo :D,382,9514,Sp3llchekcer,OT
pwneedsqueen,https://www.nitromath.com/racer/pwneedsqueen,PrinceWarrior,2333,9355,Endless Summer,WL
charis_thomas,https://www.nitromath.com/racer/charis_thomas,CRXSHOUT_V3N0M,260,8335,Shattered,WL
349fd47673c8b4e86cb30cc105fba01f,https://www.nitromath.com/racer/349fd47673c8b4e86cb30cc105fba01f,-Legend-Alex boiiiii,345,8281,Nitro Rich,IMT
43ef88f146eec99bc2c1bd9e4e63d4be,https://www.nitromath.com/racer/43ef88f146eec99bc2c1bd9e4e63d4be,Dimond rich,240,6128,Tilted Typist,COBRAS
doggoiqnt,https://www.nitromath.com/racer/doggoiqnt,DoggoIQ,159,5992,Operation: Typing,PNKYPI
gavincouch23,https://www.nitromath.com/racer/gavincouch23,864 CopyRight,231,5924,League Champion,NMGDS
chatterbox_cam,https://www.nitromath.com/racer/chatterbox_cam,Chatterbox Cam,224,5904,Let's Gooooo!,DKC
oxx_err0r,https://www.nitromath.com/racer/oxx_err0r,oxxerr0r,171,5851,League Champion,DM8TE
davidh314,https://www.nitromath.com/racer/davidh314,Usain Bolt,238,5691,Nitro Dog,SHIP
d7ebd81a102778a7bb3ea7321f8ac6ff,https://www.nitromath.com/racer/d7ebd81a102778a7bb3ea7321f8ac6ff,SoldToTyping YT,696,5555,WPM Wonderkid,NITR0
