Username,ProfileLink,DisplayName,Races,Points,Title,Team
ashwat255,https://www.nitromath.com/racer/ashwat255,Tarifatician,3537,168916,Operation: Typing,TR1
promystie,https://www.nitromath.com/racer/promystie,mys-20k,2097,99131,Top Tier,TR1
t4l4n06,https://www.nitromath.com/racer/t4l4n06,TM4C Inna GTR,3395,65620,Never Exhausted,NMGDS
ibotalotofraces1,https://www.nitromath.com/racer/ibotalotofraces1,Mr_Benz,9110,43822,Insert Title Here,IMT
ultra_legend_1234,https://www.nitromath.com/racer/ultra_legend_1234,Cursed Embers,1074,37650,League Champion,X3
yellowtyper0to100m,https://www.nitromath.com/racer/yellowtyper0to100m,Internet,1923,31781,Nitro Rich,IMT
cosmicallyr2,https://www.nitromath.com/racer/cosmicallyr2,Eclipta De Cosmic IX,640,24452,Yo,IMT
callsignbookworm,https://www.nitromath.com/racer/callsignbookworm,RC-505 MKII Bkwrm,730,21930,League Champion,X3
guest13414,https://www.nitromath.com/racer/guest13414,3dprinterX3,647,20603,Wampus Patrol,X3
typingteachsz,https://www.nitromath.com/racer/typingteachsz,MRTYPINGTEACHER,747,18219,404 Not Found,WL
250fish,https://www.nitromath.com/racer/250fish,250fish,601,17325,League Champion,NMGDS
ntyperoftheyear,https://www.nitromath.com/racer/ntyperoftheyear,-Arentyx- YOUTUBE,461,14106,Valentypist,IMT
zezede,https://www.nitromath.com/racer/zezede,zephster,315,14089,404 Not Found,NMGDS
dodge_hornet_2024,https://www.nitromath.com/racer/dodge_hornet_2024,Dodgatician,371,13865,Sea Student,OT
9b97df21bf9a4b8ba3c229233ca88ce6,https://www.nitromath.com/racer/9b97df21bf9a4b8ba3c229233ca88ce6,Wild Jagd,423,13597,Nitro Rich,ML
pwneedsqueen,https://www.nitromath.com/racer/pwneedsqueen,all night no sleep,3279,12676,Battle Beast,WL
cherry149,https://www.nitromath.com/racer/cherry149,Typing_Cat_NM,434,11922,Tilted Typist,PIGGY
huracan2012,https://www.nitromath.com/racer/huracan2012,Huracan,359,11562,Extracurricular!,NMGDS
adudemanbro,https://www.nitromath.com/racer/adudemanbro,Oreo :D,393,9912,Sp3llchekcer,OT
davidh314,https://www.nitromath.com/racer/davidh314,Usain Bolt,381,9645,Nitro Dog,SHIP
349fd47673c8b4e86cb30cc105fba01f,https://www.nitromath.com/racer/349fd47673c8b4e86cb30cc105fba01f,Crashout Alex,486,9596,Nitro Rich,IMT
doggoiqnt,https://www.nitromath.com/racer/doggoiqnt,DoggoIQ,236,8982,Operation: Typing,PNKYPI
oxx_err0r,https://www.nitromath.com/racer/oxx_err0r,oxxerr0r,260,8948,League Champion,DM8TE
charis_thomas,https://www.nitromath.com/racer/charis_thomas,CRXSHOUT_V3N0M,260,8335,Shattered,WL
gavincouch23,https://www.nitromath.com/racer/gavincouch23,864Gavin-YT,311,8218,404 Not Found,NMGDS
d7ebd81a102778a7bb3ea7321f8ac6ff,https://www.nitromath.com/racer/d7ebd81a102778a7bb3ea7321f8ac6ff,Legend-4k,893,6861,WPM Wonderkid,NITR0
f5252997f75c8be75f0bf2d6d17eb6c4,https://www.nitromath.com/racer/f5252997f75c8be75f0bf2d6d17eb6c4,champmouse,259,6390,Expert Extraordinaire,SHIP
makeoffier,https://www.nitromath.com/racer/makeoffier,-Mr_Ash-19k,302,6338,League Champion,DVM
43ef88f146eec99bc2c1bd9e4e63d4be,https://www.nitromath.com/racer/43ef88f146eec99bc2c1bd9e4e63d4be,Dimond rich,247,6319,Tilted Typist,COBRAS
ucrow2,https://www.nitromath.com/racer/ucrow2,Callsign-BookwormAlt,216,6138,404 Not Found,HGWRTS
chatterbox_cam,https://www.nitromath.com/racer/chatterbox_cam,Chatterbox Cam,224,5904,Let's Gooooo!,DKC
will_i_am12,https://www.nitromath.com/racer/will_i_am12,-WHardy-,270,5847,Nitro Rich,SHIP
godmode_674,https://www.nitromath.com/racer/godmode_674,William Afton,277,5741,Master Motorist,4MATH
david123bad,https://www.nitromath.com/racer/david123bad,ReflectiveOrangePiranha,1622,5708,Nitro Rich,IMT
keeganfromcamp,https://www.nitromath.com/racer/keeganfromcamp,SolarTypistYT,234,5384,League Champion,DVM
gocartman9,https://www.nitromath.com/racer/gocartman9,ily2starsgonewildX3,199,5382,Nitro Dog,X3
aaf5c0fd1e5a8432156c1a679a042074,https://www.nitromath.com/racer/aaf5c0fd1e5a8432156c1a679a042074,panchitojamesishere,239,5364,Nitro Pup,CRAZZZ
lookuptosee,https://www.nitromath.com/racer/lookuptosee,How Great is God,286,5301,Dragon Tamer,CC
bessyann81,https://www.nitromath.com/racer/bessyann81,CozyIndigoCheetah,259,5287,Olde School,FUS3
d1srupti0n2,https://www.nitromath.com/racer/d1srupti0n2,disrupt,126,5231,Huge Baller,ETH
aaron23472,https://www.nitromath.com/racer/aaron23472,aaron23472,209,5213,Nitro Dog,NFL881
fggdhfhrh,https://www.nitromath.com/racer/fggdhfhrh,fggdhfhrh,199,5184,Nitro Pup,DKC
552c1d98cc0d6544eebdac5cb322e275,https://www.nitromath.com/racer/552c1d98cc0d6544eebdac5cb322e275,- JJ on NT -,203,5107,RIP,X3
isaacfirstplace,https://www.nitromath.com/racer/isaacfirstplace,VIKING KING,139,5030,Pro Pacer,SHIP
gordo90,https://www.nitromath.com/racer/gordo90,gordo90,186,4998,Millionaire,TOSONT
tyo90,https://www.nitromath.com/racer/tyo90,✨superjoelzy✨,141,4864,League Champion,JSTW
monkeyface1212,https://www.nitromath.com/racer/monkeyface1212,friendof jesus,162,4840,Where's the remote?,WINNR
f26b17c7c9411e8590b269a1e834a7f5,https://www.nitromath.com/racer/f26b17c7c9411e8590b269a1e834a7f5,The GOAT96,173,4739,Filthy Rich,TOSONT
jay1sh,https://www.nitromath.com/racer/jay1sh,ilyjox,221,4654,Yo,IMT
princewarrior606,https://www.nitromath.com/racer/princewarrior606,PW                                                ,1480,4650,Tilted Typist,WL
31ad00a08c36794a6016fe2c186a64de,https://www.nitromath.com/racer/31ad00a08c36794a6016fe2c186a64de,Corsa Ultima,162,4532,League Champion,CF02
slixinyg,https://www.nitromath.com/racer/slixinyg,E-L-A-K YT ,166,4529,Yo,TOSONT
diegaso,https://www.nitromath.com/racer/diegaso,diegaso,199,4301,The ATM Machine,4MATH
xxthirteenxx,https://www.nitromath.com/racer/xxthirteenxx,samuel mine,657,4256,2icy4u,WL
n474585shark,https://www.nitromath.com/racer/n474585shark,SHARKSRULE12345,148,4252,Auto Avenger,NFL881
ju7gt,https://www.nitromath.com/racer/ju7gt,JuJu YT,232,4219,Three Commas Club,TR1
lydiabug12,https://www.nitromath.com/racer/lydiabug12,lydiabug12,152,4053,Potaytoes,JDFU
unithepro,https://www.nitromath.com/racer/unithepro,Jax                                               ,150,4046,League Champion,X3
awrussell,https://www.nitromath.com/racer/awrussell,EAGLES_RULE,145,4007,"Peace, Love, Nitros",4MATH
fabio_wibmer,https://www.nitromath.com/racer/fabio_wibmer,Fabiolous Escape,158,4002,Problem Solver,NMGDS
kiwicar44,https://www.nitromath.com/racer/kiwicar44,3clipse NT YT,165,3925,Car Collector,A3
af883e5f4a367e36e1a22b4ca06d8219,https://www.nitromath.com/racer/af883e5f4a367e36e1a22b4ca06d8219,Axolotl king,165,3910,Turboducken,SHIP
ppnugget1234,https://www.nitromath.com/racer/ppnugget1234,CyberChicken10K,387,3854,Operation: Typing,ML
thefastcakes,https://www.nitromath.com/racer/thefastcakes,thefastcakes,121,3815,Ray of Sunshine,LEGOLF
carmine91111,https://www.nitromath.com/racer/carmine91111,carmine91111,260,3697,Original Gangster,GRIFF
surferdudehj,https://www.nitromath.com/racer/surferdudehj,join team for 1 mill,124,3691,Sweaty Typer,DM8TE
kamryn234t54345,https://www.nitromath.com/racer/kamryn234t54345,༺Survivor༻,105,3626,Pit Crew,FASZ
30bbba639d4319c0675c347c691e4393,https://www.nitromath.com/racer/30bbba639d4319c0675c347c691e4393,Galactic Racer,269,3489,Master Motorist,IMT
cocomelon4,https://www.nitromath.com/racer/cocomelon4,Join P1RE Now,148,3486,Champion Chaser,IMT
auburnblaze,https://www.nitromath.com/racer/auburnblaze,auburnblaze,276,3469,Trailblazer,CC
therealr4d1ant,https://www.nitromath.com/racer/therealr4d1ant,R2-D2 Alt,411,3427,Keyboard Cat,ML
advarw,https://www.nitromath.com/racer/advarw,NitroType since 2019,140,3419,#NitroFurze,IMT
ampray,https://www.nitromath.com/racer/ampray,ampray,146,3388,Spring-a-round,LEGOLF
toplace,https://www.nitromath.com/racer/toplace,Danny MacAskill,159,3371,#NitroFurze,NMGDS
peaceabletyping3,https://www.nitromath.com/racer/peaceabletyping3,InfinityAndBeyond,105,3280,Overdrive,FASZ
c78a6a010d7775a5407c4b2afed25f0d,https://www.nitromath.com/racer/c78a6a010d7775a5407c4b2afed25f0d,curious goarge,141,3223,Millionaire,BEAST
