Team,TotalPoints,Races,Members
TR1,264789,5602,8
IMT,212431,19567,42
X3,100493,3533,50
NMGDS,71168,2697,25
WL,60646,10755,49
SHIP,34853,1478,47
ML,28269,1622,48
FASZ,26116,1172,40
4MATH,25372,1211,47
OT,19804,712,33
SERVNT,19051,1011,43
CC,18726,1142,45
DM8TE,17609,652,19
CRAZZZ,16327,689,40
LEGOLF,16298,643,47
DKC,16045,697,49
GO10,15691,986,19
CF02,14578,575,14
COBRAS,13964,697,29
PNKYPI,13926,467,48
LORD,12701,632,13
NITR0,12159,1195,44
PIGGY,11585,441,9
T2WIN,11051,561,45
FUS3,10227,488,26
NFL881,10135,415,34
TMS,9373,2498,28
J4UP,8592,473,35
GRIFF,8424,455,18
NFL,8371,365,27
JDFU,7747,351,49
BEAST,7651,352,40
HGWRTS,7009,255,16
BAG,6743,353,9
TCLIP,6240,332,46
A3,6174,347,18
WINNR,6099,213,8
ETH,5942,141,28
JSTW,5771,180,16
ETYPEC,5663,368,11
NFO,5620,202,6
WOLVEZ,5547,704,1
KINGH,4848,193,20
JLFU,4806,281,23
WCV,4414,177,25
CONM,4378,208,39
BOB151,4342,213,11
APLU5,3879,142,25
R3M1X,3607,330,21
JE4US,3390,154,40
TEDDY,3097,181,46
HIM32,3061,142,4
ERICK,3026,133,26
EVSC,2999,142,47
MATH,2920,143,43
PUPBY,2816,165,37
AMATHB,2599,164,42
LGCS,2455,104,5
KINGS,2393,130,49
DORYA,2306,136,43
WMDSM,2204,115,29
NTPD1,1997,100,20
49ERSI,1983,98,21
12312B,1965,97,34
TRUST,1928,95,49
RISE,1784,79,26
ZOOM,1755,79,5
VZ,1563,74,44
404,1448,92,6
ALSLUG,1270,70,37
WISD0M,1262,53,9
GOAT,1101,65,43
DRBZZZ,1088,46,8
HRX,1075,52,35
GHOSTS,1064,56,3
MATT18,1012,47,31
SAVVEE,974,50,7
GOLD55,814,48,33
LGE,813,35,45
ZWINNA,798,37,25
NMCH12,772,44,43
ZH,739,89,13
EASTER,734,43,48
GOATS,693,41,35
SOCER5,660,36,40
PRVBS,633,36,10
ABAMS,474,26,40
NMV,426,19,13
CR7TW,383,21,21
GOLD,305,19,47
121,282,16,26
KOTGP,265,10,6
NMGS,77,3,11
MAHOU,19,1,6
A298,19,1,7
IM4,5,2,2
UBL,0,0,6
SOW,0,0,4
