Team,TotalPoints,Races,Members
TR1,189104,4015,3
IMT,188352,18260,48
X3,77860,2748,50
NMGDS,53370,2000,14
WL,50516,8552,49
TOSONT,31308,1559,50
SHIP,30451,1278,47
DVM,27693,1140,2
ML,26845,1491,46
4MATH,24695,1161,45
FASZ,24114,1010,39
OT,19160,693,36
DM8TE,16796,626,20
SERVNT,16024,862,45
CC,15689,921,47
CRAZZZ,14538,618,40
DKC,14180,601,50
LEGOLF,13674,526,47
CF02,13452,532,24
GO10,13125,837,22
PNKYPI,12740,400,47
COBRAS,11273,544,22
PIGGY,10989,425,9
LORD,10676,514,18
NITR0,10603,1069,44
T2WIN,10364,529,45
NFL881,9595,393,34
TMS,9082,2478,31
FUS3,8362,399,35
NFL,8156,353,15
BEAST,7253,329,40
J4UP,7145,396,21
GRIFF,6873,387,15
HGWRTS,6520,232,16
BAG,6067,318,13
JSTW,5732,179,16
WOLVEZ,5547,704,1
JDFU,5521,263,36
WINNR,5476,191,9
TCLIP,4878,267,43
NFO,4852,177,6
KINGH,4703,184,21
JLFU,4544,268,33
N8TH,4431,200,6
ETH,4417,109,1
BOB151,4297,211,16
A3,4040,223,15
APLU5,3879,142,27
CONM,3729,181,41
WCV,3330,133,26
JE4US,3327,151,45
R3M1X,3311,315,21
HIM32,3040,141,4
EVSC,2915,135,48
TEDDY,2498,147,47
LGCS,2455,104,6
MATH,2332,111,41
WMDSM,2204,115,30
PUPBY,2080,119,32
49ERSI,1893,94,21
TRUST,1808,90,47
NTPD1,1777,87,18
12312B,1647,81,34
ZOOM,1565,70,5
RISE,1538,65,26
DORYA,1432,87,43
404,1372,88,7
KINGS,1278,65,49
ALSLUG,1266,69,38
VZ,1253,62,45
ERICK,1106,49,27
GOAT,1101,65,43
DRBZZZ,1088,46,8
GHOSTS,1064,56,3
HRX,1008,48,35
MATT18,1002,46,39
SAVVEE,909,44,12
W2V,889,54,40
GOLD55,814,48,33
ZWINNA,778,36,29
NMCH12,733,42,45
GOATS,693,41,36
AMATHB,676,45,31
EASTER,636,36,48
LGE,558,25,45
SOCER5,531,30,40
WISD0M,478,28,10
ABAMS,474,26,40
ZH,469,77,13
NMV,326,15,7
GOLD,305,19,48
121,282,16,26
CR7TW,275,15,21
KOTGP,265,10,6
PRVBS,245,12,13
NMGS,53,2,11
A298,19,1,7
MAHOU,19,1,8
IM4,2,1,2
UBL,0,0,6
SOW,0,0,4
81BAG,0,0,3
CCFRI,0,0,8
