Team,TotalPoints,Races,Members
IM2,129689,12030,26
TR1,107895,2287,4
X3,39387,1423,50
WL,34458,5180,42
ML,22178,1169,46
FASZ,19932,812,40
MATHNL,13727,618,16
4MATH,13034,617,44
CRAZZZ,12840,542,41
TOSONT,11954,608,50
OT,10344,418,32
CC,9221,559,43
LEGOLF,9032,355,48
SHIP,8989,383,42
PIGGY,8734,343,8
DM8TE,8037,272,35
NITR0,8016,771,50
SERVNT,7126,377,25
PNKYPI,6825,225,45
TMS,6790,2323,28
NFL,6657,277,19
T2WIN,6186,344,43
DKC,5883,265,47
J4UP,5771,328,19
WOLVEZ,5547,704,1
BEAST,5122,237,40
JSTW,5072,158,15
COBRAS,5061,217,14
ETYPEC,4829,330,12
CC1,4416,161,11
ETH,4369,108,1
NFL881,4068,177,35
JLFU,3886,233,36
APLU5,3879,142,28
TCLIP,3745,219,38
NFO,3569,122,6
KINGH,3171,105,20
FUS3,3052,145,37
R3M1X,3016,301,20
N8TH,2924,140,8
JDFU,2896,150,50
BAG,2681,142,11
EVSC,2660,123,48
TIKTOK,2659,111,1
WINNR,2610,91,8
BOB151,2528,118,15
81BAG,2426,136,44
WMDSM,2204,115,30
CONM,2193,105,42
JE4US,1859,79,44
NTPD1,1630,81,16
A3,1586,110,14
49ERSI,1473,72,21
12312B,1435,69,34
MATH,1350,65,43
GRIFF,1345,55,10
LGCS,1290,60,7
RISE,1234,53,27
WCV,1222,52,27
ZOOM,1187,49,8
DRBZZZ,1088,46,8
ALSLUG,896,52,38
SAVVEE,887,43,16
KINGS,852,41,49
TRUST,822,42,49
GOAT,795,45,45
MATT18,737,35,40
NMCH12,673,39,45
ERICK,621,28,27
GOLD55,525,33,33
PUPBY,487,30,31
GHOSTS,468,25,4
HRX,433,24,36
DORYA,429,22,43
HIM32,421,21,4
SOCER5,364,21,40
VZ,350,17,45
LGE,343,12,45
HGWRTS,340,14,15
NMV,326,15,9
GOATS,294,17,37
EASTER,280,16,47
CR7TW,275,15,21
ZWINNA,254,12,30
ZH,249,31,11
ABAMS,224,12,40
1LWS,221,13,21
WISD0M,167,6,10
W2V,164,9,41
GOLD,149,8,48
121,137,7,27
TEDDY,97,5,45
AMATHB,94,8,31
PRVBS,15,1,14
IM4,2,1,2
KOTGP,0,0,6
NMGS,0,0,11
SOW,0,0,4
MAHOU,0,0,8
A298,0,0,7
UBL,0,0,6
RTV,0,0,5
CCFRI,0,0,8
