Team,TotalPoints,Races,Members
TR1,151304,3191,4
IMT,150630,13706,32
X3,47773,1721,50
WL,41575,6609,45
NMGDS,33036,1211,24
ML,23549,1276,47
TOSONT,22084,1101,46
FASZ,21156,870,38
SHIP,18241,800,46
OT,16735,620,34
4MATH,15749,734,42
CRAZZZ,14490,614,40
CC,13463,796,50
DKC,12586,522,48
SERVNT,11748,650,50
CF02,11627,465,28
PIGGY,10861,416,9
DM8TE,10802,392,15
LEGOLF,10441,411,47
COBRAS,9774,453,21
PNKYPI,9424,305,46
NITR0,8713,847,49
TMS,8599,2452,31
LORD,8021,394,8
T2WIN,7897,425,43
NFL,7803,336,17
NFL881,7429,303,34
BEAST,6507,297,40
J4UP,6269,365,17
FUS3,5952,286,36
GRIFF,5599,333,12
WOLVEZ,5547,704,1
JSTW,5102,159,17
ETYPEC,4946,335,12
BAG,4921,253,12
NFO,4516,162,6
ETH,4369,108,1
TCLIP,4344,243,38
JLFU,4247,253,36
KINGH,4047,154,20
APLU5,3879,142,27
WINNR,3574,122,8
JDFU,3553,180,37
R3M1X,3136,307,20
N8TH,3087,146,8
HGWRTS,2989,101,16
BOB151,2906,139,16
EVSC,2887,133,48
A3,2617,155,14
CONM,2448,119,42
WMDSM,2204,115,30
WCV,2166,89,26
MATH,2153,103,42
JE4US,2071,91,44
HIM32,2045,96,4
LGCS,1950,85,7
49ERSI,1820,90,21
NTPD1,1658,82,16
12312B,1527,75,34
RISE,1522,64,27
PUPBY,1414,82,31
ZOOM,1356,60,6
404,1324,84,8
DORYA,1268,78,43
TRUST,1226,59,48
ERICK,1106,49,27
DRBZZZ,1088,46,8
SAVVEE,909,44,16
GOAT,901,52,44
ALSLUG,896,52,38
KINGS,852,41,49
GHOSTS,849,45,4
MATT18,737,35,40
NMCH12,708,41,45
VZ,613,30,45
GOLD55,525,33,33
HRX,494,27,36
SOCER5,443,26,40
GOATS,386,21,37
EASTER,358,20,48
LGE,343,12,45
NMV,326,15,7
WISD0M,317,13,10
ZWINNA,282,14,30
TEDDY,279,13,45
CR7TW,275,15,21
GOLD,272,17,48
ZH,272,32,12
1LWS,257,15,20
ABAMS,224,12,40
W2V,183,10,41
121,137,7,27
AMATHB,137,12,31
PRVBS,73,4,14
NMGS,53,2,11
IM4,2,1,2
KOTGP,0,0,6
MAHOU,0,0,8
SOW,0,0,4
UBL,0,0,6
A298,0,0,7
81BAG,0,0,2
CCFRI,0,0,8
