Team,TotalPoints,Races,Members
TR1,174546,3711,3
IMT,166343,16007,32
X3,55366,1997,50
NMGDS,46117,1736,19
WL,45770,7448,45
TOSONT,26456,1318,49
ML,24917,1392,47
SHIP,24833,1076,47
DVM,24582,1027,3
FASZ,21704,889,36
4MATH,18967,901,41
OT,17335,637,34
CRAZZZ,14490,614,40
CC,14402,838,50
DM8TE,13287,502,16
SERVNT,13182,722,50
DKC,13172,563,48
CF02,12516,497,26
LEGOLF,11363,449,48
PNKYPI,11138,349,46
GO10,11069,718,21
PIGGY,10936,420,8
COBRAS,10688,506,22
LORD,9892,476,22
NITR0,9666,990,43
TMS,8966,2471,30
T2WIN,8806,462,46
NFL881,8529,355,35
NFL,7855,340,16
FUS3,7468,353,34
BEAST,6755,309,40
J4UP,6474,373,19
GRIFF,5783,341,12
BAG,5671,297,13
WOLVEZ,5547,704,1
JSTW,5102,159,16
ETYPEC,4946,335,12
NFO,4516,162,6
TCLIP,4514,249,39
ETH,4417,109,1
HGWRTS,4416,154,16
JLFU,4342,257,34
JDFU,4070,204,39
KINGH,4047,154,20
WINNR,3967,135,9
APLU5,3879,142,27
A3,3396,190,14
BOB151,3378,169,16
N8TH,3355,156,6
R3M1X,3204,310,20
CONM,2999,144,42
EVSC,2915,135,48
HIM32,2869,134,4
WCV,2839,116,26
JE4US,2515,112,44
MATH,2250,107,42
LGCS,2245,95,6
WMDSM,2204,115,30
49ERSI,1820,90,21
TRUST,1786,89,48
NTPD1,1757,86,18
ZOOM,1565,70,7
12312B,1527,75,34
RISE,1522,64,27
DORYA,1432,87,43
PUPBY,1414,82,31
404,1372,88,7
ERICK,1106,49,27
DRBZZZ,1088,46,8
TEDDY,1075,62,49
ALSLUG,1072,60,38
GOAT,951,55,44
SAVVEE,909,44,15
VZ,886,43,45
KINGS,868,42,49
GHOSTS,849,45,3
GOLD55,814,48,33
MATT18,775,37,39
ZWINNA,737,34,30
NMCH12,733,42,45
GOATS,693,41,37
LGE,558,25,45
SOCER5,531,30,40
HRX,518,28,36
ZH,469,77,13
EASTER,387,21,48
WISD0M,347,16,10
NMV,326,15,7
AMATHB,321,23,31
CR7TW,275,15,21
GOLD,272,17,48
ABAMS,242,13,40
W2V,189,11,41
PRVBS,183,9,13
121,137,7,27
NMGS,53,2,11
MAHOU,19,1,8
A298,19,1,7
IM4,2,1,2
KOTGP,0,0,6
UBL,0,0,6
SOW,0,0,4
81BAG,0,0,4
CCFRI,0,0,8
