Team,TotalPoints,Races,Members
TR1,159245,3405,3
IMT,157586,14742,37
X3,50177,1802,50
WL,42700,6748,45
NMGDS,40001,1510,25
ML,23799,1305,47
TOSONT,22746,1134,50
FASZ,21280,875,37
DVM,19926,848,3
SHIP,19415,847,47
OT,16735,620,34
4MATH,15749,734,41
CRAZZZ,14490,614,40
CC,13463,796,50
DKC,12646,524,48
SERVNT,11899,657,50
CF02,11657,466,27
PIGGY,10892,417,9
DM8TE,10854,394,15
LEGOLF,10441,411,47
COBRAS,9785,454,21
PNKYPI,9424,305,46
GO10,9374,621,20
NITR0,9061,895,49
TMS,8766,2461,30
T2WIN,8089,433,45
LORD,8021,394,8
NFL,7803,336,17
NFL881,7800,322,35
BEAST,6507,297,40
J4UP,6423,371,18
FUS3,6172,297,36
GRIFF,5599,333,12
WOLVEZ,5547,704,1
BAG,5204,269,12
JSTW,5102,159,17
ETYPEC,4946,335,12
NFO,4516,162,6
ETH,4369,108,1
TCLIP,4344,243,38
JLFU,4247,253,34
KINGH,4047,154,20
APLU5,3879,142,27
WINNR,3574,122,8
JDFU,3553,180,37
R3M1X,3136,307,20
N8TH,3087,146,8
A3,3086,180,14
HGWRTS,2989,101,16
BOB151,2906,139,16
EVSC,2887,133,48
CONM,2448,119,42
WMDSM,2204,115,30
WCV,2192,90,26
MATH,2153,103,42
LGCS,2121,91,7
JE4US,2090,92,44
HIM32,2045,96,4
49ERSI,1820,90,21
NTPD1,1658,82,16
12312B,1527,75,34
RISE,1522,64,27
PUPBY,1414,82,31
ZOOM,1356,60,6
404,1324,84,8
DORYA,1268,78,43
TRUST,1226,59,48
ERICK,1106,49,27
DRBZZZ,1088,46,8
SAVVEE,909,44,15
GOAT,901,52,44
ALSLUG,896,52,38
KINGS,868,42,49
GHOSTS,849,45,4
MATT18,737,35,40
NMCH12,708,41,45
GOATS,693,41,37
VZ,613,30,45
GOLD55,525,33,33
HRX,494,27,36
ZH,469,77,13
SOCER5,443,26,40
LGE,369,15,45
EASTER,358,20,48
NMV,326,15,7
WISD0M,317,13,10
ZWINNA,282,14,30
TEDDY,279,13,45
CR7TW,275,15,21
GOLD,272,17,48
1LWS,257,15,20
ABAMS,224,12,40
W2V,183,10,41
121,137,7,27
AMATHB,137,12,31
PRVBS,73,4,14
NMGS,53,2,11
IM4,2,1,2
KOTGP,0,0,6
SOW,0,0,4
MAHOU,0,0,8
A298,0,0,7
UBL,0,0,6
81BAG,0,0,2
CCFRI,0,0,8
