Username,ProfileLink,DisplayName,Races,Points,Title,Team
shadow_reaper123,https://www.nitromath.com/racer/shadow_reaper123,Got it back MD9,533,4414,League Champion,WL
n474585shark,https://www.nitromath.com/racer/n474585shark,SHARKSRULE12345,153,4410,Auto Avenger,NFL881
diegaso,https://www.nitromath.com/racer/diegaso,diegaso,199,4301,The ATM Machine,4MATH
ju7gt,https://www.nitromath.com/racer/ju7gt,JuJu YT,233,4275,Drift King,TR1
xxthirteenxx,https://www.nitromath.com/racer/xxthirteenxx,aloneilia,657,4256,2icy4u,WL
kiwicar44,https://www.nitromath.com/racer/kiwicar44,3c  4k,175,4166,Car Collector,A3
toplace,https://www.nitromath.com/racer/toplace,Danny MacAskill,197,4110,#NitroFurze,NMGDS
thefastcakes,https://www.nitromath.com/racer/thefastcakes,thefastcakes,129,4082,Raw Racing Recruit,LEGOLF
awrussell,https://www.nitromath.com/racer/awrussell,EAGLES_RULE,147,4059,"Peace, Love, Nitros",4MATH
unithepro,https://www.nitromath.com/racer/unithepro,Jax                                               ,150,4046,League Champion,X3
af883e5f4a367e36e1a22b4ca06d8219,https://www.nitromath.com/racer/af883e5f4a367e36e1a22b4ca06d8219,Axolotl king,170,4040,Turboducken,WL
ppmtjm,https://www.nitromath.com/racer/ppmtjm,Polly P,164,3961,Tilted Typist,SERVNT
30bbba639d4319c0675c347c691e4393,https://www.nitromath.com/racer/30bbba639d4319c0675c347c691e4393,Galactic Racer,302,3871,Extraterrestrial,IMT
ppnugget1234,https://www.nitromath.com/racer/ppnugget1234,ChickenNUGG 10K,388,3856,Operation: Typing,ML
lego2023,https://www.nitromath.com/racer/lego2023,Ace In Place,131,3760,Lightspeed,IMT
brookecrochet,https://www.nitromath.com/racer/brookecrochet,-Faith-,180,3738,Drift Queen,LORD
carmine91111,https://www.nitromath.com/racer/carmine91111,carmine91111,260,3697,Original Gangster,GRIFF
surferdudehj,https://www.nitromath.com/racer/surferdudehj,join team for 1 mill,124,3691,Sweaty Typer,DM8TE
texas_cowboy,https://www.nitromath.com/racer/texas_cowboy,Cowboy,129,3638,I Love Dogs,SHIP
kamryn234t54345,https://www.nitromath.com/racer/kamryn234t54345,༺Survivor༻,105,3626,Pit Crew,FASZ
therealr4d1ant,https://www.nitromath.com/racer/therealr4d1ant,R2-D2 Alt,444,3609,Keyboard Cat,ML
a59bb5596aefea522e98cf3a115db63f,https://www.nitromath.com/racer/a59bb5596aefea522e98cf3a115db63f,"john 3,16 look it up",162,3498,Tilted Typist,IMT
d2c476cfe708db56e7f88d59528e473b,https://www.nitromath.com/racer/d2c476cfe708db56e7f88d59528e473b,GoopyWarrior,129,3433,Solid Gold,WCV
ampray,https://www.nitromath.com/racer/ampray,ampray,146,3388,Spring-a-round,LEGOLF
nfo_null,https://www.nitromath.com/racer/nfo_null,,115,3371,Bug Smasher,NFO
briesoncs,https://www.nitromath.com/racer/briesoncs,briesoncs,281,3325,Nitro Rich,IMT
c78a6a010d7775a5407c4b2afed25f0d,https://www.nitromath.com/racer/c78a6a010d7775a5407c4b2afed25f0d,curious goarge,141,3223,Millionaire,BEAST
63af3a232f7f79b3464da2d654163185,https://www.nitromath.com/racer/63af3a232f7f79b3464da2d654163185,Lionel Messi,209,3220,Spring-a-round,GO10
sub_2_turtlzed_yt,https://www.nitromath.com/racer/sub_2_turtlzed_yt,Turtlzed YT,167,3203,Happy Vibes :),T2WIN
reesedebeast,https://www.nitromath.com/racer/reesedebeast,REESEDEBEAST,171,3175,Legendary Lapper,X3
ef00889416a33e438307bf9d2512e49b,https://www.nitromath.com/racer/ef00889416a33e438307bf9d2512e49b,Funny Elliot,219,3040,Raw Racing Recruit,GO10
mtana12,https://www.nitromath.com/racer/mtana12,FRC_1477,105,3000,Nitro Rich,PNKYPI
dfe49df5d8b8b8aa9094dcd2d2137c8c,https://www.nitromath.com/racer/dfe49df5d8b8b8aa9094dcd2d2137c8c,KingKumba1993,105,2984,Top Tier,GRIFF
havenstedfast,https://www.nitromath.com/racer/havenstedfast,Infinity Speed,115,2982,Master Motorist,X3
a8972a0601a6377f48543dd5f2c9bf63,https://www.nitromath.com/racer/a8972a0601a6377f48543dd5f2c9bf63,Sidewalkturtle_fire,222,2849,Champion Chaser,ETYPEC
paigegm,https://www.nitromath.com/racer/paigegm,Gloria,117,2766,Drift Queen,IMT
