Team,TotalPoints,Races,Members
TR1,223959,4750,7
IMT,202305,18881,50
X3,92490,3263,50
NMGDS,60742,2259,12
WL,55438,9667,47
TOSONT,36548,1829,50
SHIP,33794,1433,50
DVM,27970,1150,1
ML,27726,1597,45
FASZ,25542,1143,44
4MATH,25113,1181,47
OT,19761,711,35
SERVNT,18349,979,50
CC,18197,1108,50
DM8TE,17531,648,19
CRAZZZ,16051,679,39
LEGOLF,15656,618,47
DKC,15466,670,50
GO10,14665,925,23
CF02,14554,572,24
PNKYPI,13832,463,49
COBRAS,12366,612,22
PIGGY,11585,441,9
NITR0,11048,1094,45
LORD,10940,532,8
T2WIN,10857,549,45
NFL881,10032,410,34
TMS,9373,2498,29
FUS3,8860,421,36
J4UP,8359,462,27
NFL,8255,358,12
BEAST,7558,346,40
GRIFF,7330,408,19
JDFU,7300,328,37
HGWRTS,6826,247,16
BAG,6630,347,12
ETH,5942,141,1
WINNR,5942,207,10
A3,5785,327,16
JSTW,5732,179,16
WOLVEZ,5547,704,1
ETYPEC,5335,353,11
NFO,5314,192,6
TCLIP,5262,288,44
KINGH,4825,192,21
JLFU,4746,278,28
N8TH,4431,200,6
BOB151,4342,213,16
CONM,4310,204,41
WCV,4116,166,26
APLU5,3879,142,27
R3M1X,3573,326,21
JE4US,3390,154,41
HIM32,3061,142,4
EVSC,2915,135,48
TEDDY,2898,170,47
PUPBY,2538,147,34
MATH,2495,120,41
LGCS,2455,104,6
WMDSM,2204,115,30
DORYA,2020,120,43
AMATHB,1972,125,32
49ERSI,1893,94,21
TRUST,1878,93,48
NTPD1,1797,88,17
12312B,1753,86,34
RISE,1655,72,26
ERICK,1613,71,27
KINGS,1604,83,49
ZOOM,1565,70,5
VZ,1563,74,43
404,1448,92,6
ALSLUG,1270,70,37
WISD0M,1262,53,10
GOAT,1101,65,43
DRBZZZ,1088,46,8
GHOSTS,1064,56,3
HRX,1053,50,35
W2V,1023,64,40
MATT18,1002,46,36
SAVVEE,974,50,10
GOLD55,814,48,33
ZWINNA,798,37,26
NMCH12,772,44,43
ZH,739,89,13
GOATS,693,41,36
SOCER5,660,36,40
EASTER,636,36,48
LGE,592,27,45
ABAMS,474,26,40
NMV,426,19,8
CR7TW,383,21,21
GOLD,305,19,48
121,282,16,26
KOTGP,265,10,6
PRVBS,245,12,13
NMGS,77,3,11
A298,19,1,7
MAHOU,19,1,6
IM4,5,2,2
UBL,0,0,6
SOW,0,0,4
81BAG,0,0,3
CCFRI,0,0,8
